Type_Contrat,Experience_Requise,Secteur,Nb_Offres,Salaire_Min,Salaire_Moyen,Salaire_Max,Salaire_Median
CDI,5-8 ans,Santé,4,10800,17225,25600,16250
CDI,Non renseigné,Industrie,4,8500,9450,10900,9200
Freelance,2-5 ans,Santé,3,8800,12933,15000,15000
Freelance,2-5 ans,Industrie,3,10600,11967,14000,11300
CDD,5-8 ans,Finance & Rh,3,8000,11400,13800,12400
Alternance,0-2 ans,It & Tech,3,4264,4889,5912,4490
CDD,Non renseigné,Finance & Rh,3,10300,11367,13300,10500
CDD,8+ ans,Finance & Rh,3,9600,12233,17100,10000
CDD,2-5 ans,Autres,3,9000,9000,9000,9000
CDD,2-5 ans,Btp,3,7700,8233,8600,8400
Freelance,5-8 ans,It & Tech,3,20800,24667,26700,26500
Freelance,Non renseigné,It & Tech,3,12000,17267,23300,16500
Freelance,8+ ans,Commerce,3,15600,19667,21700,21700
Stage,5-8 ans,Industrie,3,3737,4073,4564,3918
CDD,8+ ans,Industrie,2,14600,14600,14600,14600
CDD,Non renseigné,Industrie,2,11500,11500,11500,11500
Alternance,5-8 ans,It & Tech,2,3888,4851,5813,4851
Stage,2-5 ans,Finance & Rh,2,4525,7512,10500,7512
Stage,Non renseigné,It & Tech,2,3323,3396,3470,3396
Stage,2-5 ans,Tourisme,2,2518,4059,5600,4059
Stage,5-8 ans,It & Tech,2,3145,3174,3202,3174
Stage,0-2 ans,It & Tech,2,2772,7386,12000,7386
Stage,2-5 ans,Industrie,2,3916,4424,4933,4424
Stage,Non renseigné,Commerce,2,4184,4328,4471,4328
Stage,Non renseigné,Finance & Rh,2,4730,7615,10500,7615
Freelance,5-8 ans,Tourisme,2,8700,9000,9300,9000
Freelance,Non renseigné,Btp,2,12300,15950,19600,15950
Freelance,5-8 ans,Industrie,2,10500,13000,15500,13000
Freelance,5-8 ans,Commerce,2,12500,15150,17800,15150
CDI,Non renseigné,Btp,2,9300,12500,15700,12500
CDI,5-8 ans,Industrie,2,9100,9600,10100,9600
Freelance,0-2 ans,Industrie,2,6900,9050,11200,9050
CDI,8+ ans,Santé,2,13500,21400,29300,21400
CDD,5-8 ans,Santé,2,16200,17350,18500,17350
CDD,Non renseigné,Commerce,2,9000,10900,12800,10900
CDD,5-8 ans,Btp,2,11800,12600,13400,12600
Alternance,0-2 ans,Finance & Rh,2,5086,5086,5086,5086
Freelance,0-2 ans,Santé,2,11200,12300,13400,12300
Freelance,2-5 ans,It & Tech,2,17200,19750,22300,19750
Freelance,2-5 ans,Tourisme,2,6800,7400,8000,7400
Alternance,2-5 ans,Finance & Rh,1,4751,4751,4751,4751
CDD,0-2 ans,Autres,1,9000,9000,9000,9000
CDD,0-2 ans,Santé,1,13800,13800,13800,13800
CDD,0-2 ans,Btp,1,6100,6100,6100,6100
CDD,0-2 ans,Tourisme,1,4000,4000,4000,4000
CDD,2-5 ans,Industrie,1,9000,9000,9000,9000
CDD,2-5 ans,Commerce,1,7600,7600,7600,7600
CDD,2-5 ans,Tourisme,1,4400,4400,4400,4400
CDD,2-5 ans,Santé,1,7800,7800,7800,7800
CDD,8+ ans,Commerce,1,19600,19600,19600,19600
CDD,5-8 ans,Tourisme,1,5100,5100,5100,5100
CDD,8+ ans,Santé,1,12000,12000,12000,12000
CDD,5-8 ans,Industrie,1,12100,12100,12100,12100
CDD,Non renseigné,Santé,1,7100,7100,7100,7100
Alternance,8+ ans,Tourisme,1,5843,5843,5843,5843
Alternance,5-8 ans,Finance & Rh,1,5928,5928,5928,5928
Freelance,0-2 ans,Finance & Rh,1,12210,12210,12210,12210
CDI,8+ ans,Btp,1,14000,14000,14000,14000
Freelance,0-2 ans,Commerce,1,10100,10100,10100,10100
Freelance,0-2 ans,Btp,1,11500,11500,11500,11500
Freelance,2-5 ans,Btp,1,12600,12600,12600,12600
CDI,8+ ans,Industrie,1,12900,12900,12900,12900
CDI,8+ ans,Finance & Rh,1,18200,18200,18200,18200
CDI,Non renseigné,Autres,1,9000,9000,9000,9000
CDI,Non renseigné,Commerce,1,9000,9000,9000,9000
Stage,2-5 ans,Btp,1,3075,3075,3075,3075
Stage,0-2 ans,Santé,1,3794,3794,3794,3794
Stage,0-2 ans,Industrie,1,4974,4974,4974,4974
Stage,0-2 ans,Finance & Rh,1,10500,10500,10500,10500
Freelance,Non renseigné,Santé,1,12000,12000,12000,12000
Freelance,Non renseigné,Tourisme,1,9400,9400,9400,9400
Freelance,8+ ans,Finance & Rh,1,10500,10500,10500,10500
Freelance,Non renseigné,Industrie,1,8100,8100,8100,8100
Freelance,5-8 ans,Santé,1,34100,34100,34100,34100
Stage,2-5 ans,Commerce,1,4278,4278,4278,4278
Stage,5-8 ans,Finance & Rh,1,10500,10500,10500,10500
Stage,5-8 ans,Santé,1,4621,4621,4621,4621
Stage,8+ ans,It & Tech,1,3904,3904,3904,3904
Stage,8+ ans,Finance & Rh,1,3783,3783,3783,3783
Stage,8+ ans,Commerce,1,3305,3305,3305,3305
Stage,Non renseigné,Autres,1,9000,9000,9000,9000
